题材分类,题材子项,知乎盐选,番茄小说,七猫小说,晋江文学城,起点中文网,飞卢小说,刺猬猫,豆瓣阅读,今日头条,小红书,微信公众号
女频_情感虐恋,追夫追妻火葬场,3,3,3,1,0,0,0,0,1,2,2
女频_情感虐恋,死人文学BE,3,2,2,1,0,0,0,1,0,2,1
女频_情感虐恋,虐恋情深,3,3,3,2,0,0,0,1,0,1,1
女频_情感虐恋,双向救赎,3,2,2,2,0,0,0,1,0,2,1
女频_甜宠,现代甜宠,1,3,3,2,0,0,0,1,1,1,0
女频_甜宠,先婚后爱,1,3,3,2,0,0,0,0,2,1,1
女频_甜宠,闪婚萌宝团宠,1,3,3,1,0,0,0,0,1,1,1
女频_古言,宫斗宅斗,2,3,3,3,1,0,0,1,0,0,0
女频_古言,大女主古言,3,2,2,2,1,0,0,1,0,1,0
女频_古言,古风权谋,2,2,2,3,2,0,0,1,0,0,1
女频_古言,种田文,1,3,3,2,0,0,0,1,1,1,1
女频_马甲穿越,真假千金,3,3,2,1,0,0,0,0,0,1,0
女频_马甲穿越,玄学马甲,1,3,3,1,0,0,0,0,0,1,0
女频_马甲穿越,身份反转,2,2,2,2,1,0,0,1,1,1,1
女频_重生穿越,重生复仇,2,3,3,2,2,1,0,1,1,1,0
女频_重生穿越,穿越古代,1,3,3,3,1,0,1,1,1,1,0
女频_重生穿越,快穿系统,1,2,2,2,1,1,0,0,0,0,0
女频_家庭世情,婚姻家庭,3,2,2,1,0,0,0,2,3,2,3
女频_家庭世情,家长里短,3,2,2,0,0,0,0,2,3,2,3
女频_家庭世情,婆媳矛盾,2,2,2,0,0,0,0,1,3,2,3
女频_家庭世情,银发题材,2,3,2,0,0,0,0,1,3,1,2
女频_年代,年代文,1,3,3,1,0,0,0,2,3,1,2
女频_年代,军婚,1,3,3,2,1,0,0,1,2,1,1
女频_校园,青春校园,1,2,2,2,0,0,0,1,0,2,0
女频_校园,校园虐恋,2,2,2,2,0,0,0,1,0,2,0
女频_耽美百合,耽美BL,0,0,0,3,0,0,1,0,0,0,0
女频_耽美百合,百合GL,0,0,0,3,0,0,1,1,0,0,0
男频_玄幻仙侠,玄幻修真,0,3,2,0,3,2,1,0,0,0,0
男频_玄幻仙侠,仙侠修真,0,3,2,0,3,2,1,0,0,0,0
男频_玄幻仙侠,洪荒西游,0,1,1,0,2,3,1,0,0,0,0
男频_玄幻仙侠,克苏鲁西幻,1,1,1,0,3,2,2,1,0,0,0
男频_都市,都市异能,0,3,2,0,3,3,2,0,0,0,0
男频_都市,神医战神龙王,0,3,3,0,1,3,0,0,1,0,0
男频_都市,赘婿,0,3,3,0,1,3,0,0,1,0,0
男频_都市,娱乐圈影帝,1,2,2,1,2,3,1,1,0,1,0
男频_都市,直播神豪,0,2,2,0,2,3,1,0,1,0,0
男频_都市,鉴宝,1,2,1,0,1,3,0,0,1,0,0
男频_历史,架空历史,0,2,2,0,3,3,1,1,0,0,0
男频_历史,正统历史,1,1,1,0,3,1,0,2,1,0,1
男频_历史,大秦大唐大明,0,1,1,0,2,3,0,1,0,0,0
男频_系统脑洞,系统流签到流,0,3,2,0,2,3,2,0,0,0,0
男频_系统脑洞,金手指爽文,0,3,2,0,3,3,2,0,1,0,0
男频_系统脑洞,脑洞奇想,2,2,2,1,2,3,2,2,0,2,0
男频_末世,末世求生,1,3,2,1,2,3,2,1,0,0,0
男频_末世,丧尸异能,1,2,2,1,2,2,2,1,0,0,0
男频_同人,综漫同人,0,0,0,1,1,3,3,0,0,0,0
男频_同人,影视同人,0,0,0,1,1,3,2,0,0,0,0
男频_同人,四合院同人,0,0,0,0,0,3,2,0,0,0,0
男频_同人,九叔同人,0,1,1,0,1,3,2,0,0,0,0
男频_轻小说,二次元轻小说,0,0,0,0,1,2,3,0,0,0,0
男频_轻小说,变身娘化,0,0,0,0,0,1,3,0,0,0,0
不分性别_悬疑,悬疑推理,3,3,2,1,2,1,1,2,2,3,2
不分性别_悬疑,刑侦反转,3,2,2,1,2,1,0,2,2,2,2
不分性别_悬疑,密室谜案,3,2,1,1,2,1,0,2,1,2,1
不分性别_悬疑,惊悚游戏闯关,2,2,1,1,2,2,1,1,0,2,0
不分性别_灵异,民间奇闻,2,3,2,0,1,2,0,1,2,1,2
不分性别_灵异,灵异恐怖,0,2,1,1,1,2,1,1,1,1,1
不分性别_科幻,硬科幻,1,1,1,1,3,1,1,3,0,0,0
不分性别_科幻,软科幻,2,2,1,1,2,2,2,3,0,1,0
不分性别_科幻,赛博朋克,1,2,1,1,3,2,2,2,0,0,0
不分性别_现实,现实题材,3,2,2,1,1,0,0,3,3,2,3
不分性别_现实,真实事件改编,3,2,2,0,0,0,0,1,3,3,3
不分性别_现实,职场故事,3,2,2,1,1,0,0,2,3,2,3
不分性别_现实,社会议题,3,1,1,1,1,0,0,3,3,2,3
不分性别_治愈,温暖治愈,2,3,2,2,1,1,1,2,1,2,1
不分性别_治愈,亲情温情,3,3,2,2,1,0,0,2,2,2,2
不分性别_武侠,传统武侠,1,2,1,0,3,1,1,1,0,0,0
不分性别_武侠,新武侠,1,1,1,1,2,1,1,1,0,0,0
不分性别_游戏电竞,电竞,1,2,1,2,3,2,2,1,0,1,0
不分性别_游戏电竞,网游虚拟,1,2,1,1,3,2,2,1,0,0,0
